text,rating,clean_text,sentiment
toko online yang terpercaya dan terlengkap,5,toko online yang terpercaya dan terlengkap,Positif
Shopee okke,5,shopee okke,Positif
mantap,5,mantap,Positif
Mantap,5,mantap,Positif
hadehhh.... mau bayar pake shopeepay aja susah banget. muter-muter seperti keong. kocaaakkkk,1,hadehhh mau bayar pake shopeepay aja susah banget mutermuter seperti keong kocaaakkkk,Negatif
"Membantu saya dalam membeli barang"" Bagus dengan harga terjangkau",5,membantu saya dalam membeli barang bagus dengan harga terjangkau,Positif
"Kasi sangsi tegas untuk seller nakal/kirim barang tidak sesuai foto,untuk menjaga kualitas nama baik shopee shop🙏🙏🙏",5,kasi sangsi tegas untuk seller nakalkirim barang tidak sesuai fotountuk menjaga kualitas nama baik shopee shop,Positif
"Teruntuk Shopee menurut opini saya merupakan aplikasi online shop yang paling mudah digunakan, mempermudah customer untuk berbelanja, top up, bayar tagihan, dsb selama ini belum pernah ada kendala selama menggunakan aplikasi ini, good job.. semoga Shopee terus memberikan pelayanan terbaik kepada customer",5,teruntuk shopee menurut opini saya merupakan aplikasi online shop yang paling mudah digunakan mempermudah customer untuk berbelanja top up bayar tagihan dsb selama ini belum pernah ada kendala selama menggunakan aplikasi ini good job semoga shopee terus memberikan pelayanan terbaik kepada customer,Positif
bagus,4,bagus,Positif
Platform terbaik saat ini. Tapi tolong fitur lokasi alamat pelanggan lebih diperbaiki,4,platform terbaik saat ini tapi tolong fitur lokasi alamat pelanggan lebih diperbaiki,Positif
aplikasi payah makin di update makin ga jelas ga recomend pokonya,1,aplikasi payah makin di update makin ga jelas ga recomend pokonya,Negatif
Sangat membantu,5,sangat membantu,Positif
👍👍👍 bgus gamis nya suka bnget,5,bgus gamis nya suka bnget,Positif
Murah murah,5,murah murah,Positif
ditingkatkan jumlah koinnya biar semakin semangat buka sophee,5,ditingkatkan jumlah koinnya biar semakin semangat buka sophee,Positif
Suka berbelanja di sini,5,suka berbelanja di sini,Positif
sangat baik dan bagus,5,sangat baik dan bagus,Positif
Sangat membantu belanja.,5,sangat membantu belanja,Positif
Mantap sekali mudah belanja online dan banyak keuntungan dari shopee,5,mantap sekali mudah belanja online dan banyak keuntungan dari shopee,Positif
Semakin puas... Mantapppp.... Dan Amanah...👍👍👍👍,5,semakin puas mantapppp dan amanah,Positif
semua kebutuhan ada di shopee,5,semua kebutuhan ada di shopee,Positif
bagus ih,5,bagus ih,Positif
"Suka belanja di shopee..tp tidak dengan manajemennya..wkwk shoppepaylater di bekukan,afilliates tidak cair",5,suka belanja di shopeetp tidak dengan manajemennyawkwk shoppepaylater di bekukanafilliates tidak cair,Positif
bgus,4,bgus,Positif
nyaman belanja online shopie,5,nyaman belanja online shopie,Positif
"Sangat bagus, apalagi bisa cod",5,sangat bagus apalagi bisa cod,Positif
sangat berguna,5,sangat berguna,Positif
server nya lemot banget selalu delay update pengiriman,2,server nya lemot banget selalu delay update pengiriman,Negatif
Ok,5,ok,Positif
shopee sekarang kenapa suka keluar masuk sendiri padahal lg gamain shopee lg masuk apk lain ada notif shopee dikit lgsg masuk ke apknya ganggu aja tolong dong min benerin bugnya ya apapun itu sangat mengganggu,3,shopee sekarang kenapa suka keluar masuk sendiri padahal lg gamain shopee lg masuk apk lain ada notif shopee dikit lgsg masuk ke apknya ganggu aja tolong dong min benerin bugnya ya apapun itu sangat mengganggu,Netral
mntap,5,mntap,Positif
Gsuka.,1,gsuka,Negatif
Good,5,good,Positif
Ok,5,ok,Positif
mantap betul,5,mantap betul,Positif
masih banyak pedagang online yg memajang produk nya yg tidak sesuai.tolong ditindak lanjuti,5,masih banyak pedagang online yg memajang produk nya yg tidak sesuaitolong ditindak lanjuti,Positif
murah,5,murah,Positif
